vehicle_name,traffic_control_device,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month
Mahindra Thar,NO CONTROLS,RAIN,DAYLIGHT,T-INTERSECTION,"SAND, MUD, DIRT","RUT, HOLES",17,2,6
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,CLEAR,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,DEBRIS ON ROADWAY,19,4,2
Maruti Suzuki Brezza,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,5,4,3
Nissan Magnite,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,NO DEFECTS,10,1,4
Toyota Fortuner,STOP SIGN/FLASHER,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,2,3,5
Hyundai Creta,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PARKING LOT,DRY,"RUT, HOLES",11,1,8
Toyota Fortuner,NO CONTROLS,UNKNOWN,DARKNESS,CENTER TURN LANE,"SAND, MUD, DIRT",WORN SURFACE,23,4,8
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,WET,WORN SURFACE,5,7,9
Hyundai Creta,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,DEBRIS ON ROADWAY,15,3,6
Nissan Magnite,TRAFFIC SIGNAL,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,0,4,10
Skoda Slavia,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DUSK,DIVIDED - W/MEDIAN BARRIER,"SAND, MUD, DIRT",WORN SURFACE,17,2,4
Hyundai Verna,NO CONTROLS,RAIN,UNKNOWN,DIVIDED - W/MEDIAN BARRIER,WET,WORN SURFACE,8,2,7
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,OTHER,SHOULDER DEFECT,6,3,10
Hyundai Creta,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,11,4,3
Maruti Suzuki Swift,TRAFFIC SIGNAL,CLEAR,DAWN,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",18,6,2
Tata Punch,OTHER,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",5,4,11
Hyundai Creta,NO CONTROLS,UNKNOWN,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",8,1,6
Tata Punch,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,OTHER,NO DEFECTS,0,3,9
Mahindra Scorpio,STOP SIGN/FLASHER,RAIN,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),WET,WORN SURFACE,22,1,1
Hyundai Creta,NO CONTROLS,OTHER,DAYLIGHT,T-INTERSECTION,DRY,WORN SURFACE,16,7,9
Maruti Suzuki Baleno,YIELD,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,17,1,6
Tata Punch,NO CONTROLS,CLEAR,DAYLIGHT,UNKNOWN,WET,"RUT, HOLES",17,1,1
Mahindra Thar,NO CONTROLS,SLEET/HAIL,DAWN,NOT DIVIDED,DRY,"RUT, HOLES",7,3,8
Toyota Innova,OTHER,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,WORN SURFACE,16,5,4
Mahindra Thar,NO CONTROLS,RAIN,DAWN,NOT DIVIDED,WET,"RUT, HOLES",6,3,6
Tata Harrier,OTHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",8,1,1
Tata Nexon,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",15,6,2
Hyundai Venue,PEDESTRIAN CROSSING SIGN,CLOUDY/OVERCAST,DAYLIGHT,Y-INTERSECTION,OTHER,NO DEFECTS,15,6,5
Skoda Slavia,NO CONTROLS,CLEAR,DARKNESS,ALLEY,UNKNOWN,NO DEFECTS,6,4,1
Hyundai Venue,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,UNKNOWN,NO DEFECTS,1,6,11
Hyundai Venue,STOP SIGN/FLASHER,CLOUDY/OVERCAST,UNKNOWN,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,19,3,1
Skoda Slavia,NO CONTROLS,RAIN,DAWN,ONE-WAY,WET,WORN SURFACE,18,5,7
Maruti Suzuki Wagon R,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,UNKNOWN,4,7,2
Tata Nexon,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,6,1,5
Tata Altroz,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,20,7,12
Renault Kiger,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",18,6,3
Kia Sonet,TRAFFIC SIGNAL,UNKNOWN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,23,7,12
Maruti Suzuki Brezza,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,9,4,4
Mahindra Scorpio,NO CONTROLS,OTHER,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,14,3,9
Hyundai Verna,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,6,3,8
Renault Kiger,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,13,5,11
Volkswagen Virtus,NO CONTROLS,RAIN,DUSK,NOT DIVIDED,WET,NO DEFECTS,6,2,8
Hyundai Creta,TRAFFIC SIGNAL,RAIN,DAWN,CENTER TURN LANE,DRY,DEBRIS ON ROADWAY,6,3,7
Tata Punch,TRAFFIC SIGNAL,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,NO DEFECTS,3,6,3
Tata Nexon,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,UNKNOWN,"SAND, MUD, DIRT",SHOULDER DEFECT,17,5,3
Tata Harrier,OTHER,CLEAR,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,14,1,12
Volkswagen Virtus,STOP SIGN/FLASHER,RAIN,DAYLIGHT,ONE-WAY,WET,"RUT, HOLES",16,4,6
Hyundai Verna,OTHER RAILROAD CROSSING,RAIN,DARKNESS,DIVIDED - W/MEDIAN BARRIER,WET,"RUT, HOLES",20,5,6
Honda City,STOP SIGN/FLASHER,RAIN,DUSK,T-INTERSECTION,OTHER,"RUT, HOLES",18,6,9
Honda Amaze,OTHER,UNKNOWN,UNKNOWN,FOUR WAY,DRY,NO DEFECTS,13,1,6
Hyundai i20,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,22,4,12
Honda City,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,WORN SURFACE,13,7,9
Hyundai Creta,STOP SIGN/FLASHER,CLEAR,DAWN,NOT DIVIDED,DRY,NO DEFECTS,6,1,8
Tata Punch,NO CONTROLS,RAIN,DARKNESS,FOUR WAY,WET,"RUT, HOLES",23,6,11
Renault Kiger,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,SHOULDER DEFECT,2,2,1
Tata Harrier,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ONE-WAY,"SAND, MUD, DIRT",SHOULDER DEFECT,15,3,5
Mahindra Scorpio,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ALLEY,DRY,NO DEFECTS,10,7,7
Toyota Innova,PEDESTRIAN CROSSING SIGN,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,"RUT, HOLES",14,3,4
Tata Punch,NO CONTROLS,RAIN,DAYLIGHT,T-INTERSECTION,WET,"RUT, HOLES",15,5,9
Tata Nexon,OTHER REG. SIGN,RAIN,DAYLIGHT,"FIVE POINT, OR MORE",WET,NO DEFECTS,8,1,12
Nissan Magnite,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,CENTER TURN LANE,WET,NO DEFECTS,15,3,7
Maruti Suzuki Baleno,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,18,2,6
Nissan Magnite,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",7,5,12
Maruti Suzuki Wagon R,FLASHING CONTROL SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,UNKNOWN,WORN SURFACE,12,4,7
Honda City,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,9,3,7
Nissan Magnite,NO CONTROLS,RAIN,DARKNESS,UNKNOWN INTERSECTION TYPE,WET,WORN SURFACE,19,7,6
Skoda Slavia,NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,DRY,"RUT, HOLES",17,2,11
Tata Nexon,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,OTHER,20,6,8
Mahindra Scorpio,STOP SIGN/FLASHER,SLEET/HAIL,DAYLIGHT,NOT REPORTED,WET,"RUT, HOLES",7,1,9
Mahindra Thar,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,"RUT, HOLES",3,7,10
Tata Punch,NO CONTROLS,RAIN,DARKNESS,FOUR WAY,"SAND, MUD, DIRT",SHOULDER DEFECT,6,4,6
Kia Sonet,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",NO DEFECTS,7,6,7
Maruti Suzuki Swift,NO CONTROLS,FOG/SMOKE/HAZE,DUSK,NOT DIVIDED,DRY,NO DEFECTS,9,6,11
Maruti Suzuki Baleno,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,WORN SURFACE,22,5,6
Hyundai Creta,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,11,3,10
Maruti Suzuki Wagon R,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,T-INTERSECTION,DRY,NO DEFECTS,21,5,12
Hyundai i20,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,1,6,8
Tata Nexon,LANE USE MARKING,RAIN,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",21,4,9
Tata Punch,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,"FIVE POINT, OR MORE",WET,WORN SURFACE,7,4,10
Volkswagen Virtus,TRAFFIC SIGNAL,UNKNOWN,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,21,2,11
Honda City,STOP SIGN/FLASHER,RAIN,DARKNESS,T-INTERSECTION,OTHER,OTHER,2,7,6
Hyundai Venue,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,20,3,1
Skoda Slavia,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,8,1,6
Maruti Suzuki Swift,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,ALLEY,WET,DEBRIS ON ROADWAY,10,1,9
Skoda Slavia,NO CONTROLS,RAIN,DAYLIGHT,FOUR WAY,WET,DEBRIS ON ROADWAY,14,6,7
Maruti Suzuki Brezza,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",8,6,9
Tata Punch,STOP SIGN/FLASHER,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,DEBRIS ON ROADWAY,17,1,6
Hyundai Verna,STOP SIGN/FLASHER,UNKNOWN,DARKNESS,NOT DIVIDED,DRY,OTHER,23,5,8
Kia Seltos,FLASHING CONTROL SIGNAL,RAIN,DAYLIGHT,CENTER TURN LANE,"SAND, MUD, DIRT",NO DEFECTS,16,2,3
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,17,3,9
Honda Amaze,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,5,6,8
Maruti Suzuki Brezza,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,UNKNOWN INTERSECTION TYPE,DRY,"RUT, HOLES",16,2,4
Mahindra XUV700,STOP SIGN/FLASHER,OTHER,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,13,1,5
Kia Seltos,STOP SIGN/FLASHER,RAIN,UNKNOWN,OTHER,WET,NO DEFECTS,20,2,9
Tata Nexon,TRAFFIC SIGNAL,CLEAR,UNKNOWN,ONE-WAY,DRY,OTHER,12,4,7
Tata Altroz,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,WORN SURFACE,17,2,4
Nissan Magnite,LANE USE MARKING,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,8,6,12
Toyota Fortuner,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ONE-WAY,DRY,OTHER,9,6,9
Tata Punch,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,8,2,12
Hyundai Creta,NO CONTROLS,CLOUDY/OVERCAST,DUSK,NOT DIVIDED,DRY,WORN SURFACE,10,3,7
Tata Nexon,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",ALLEY,"SAND, MUD, DIRT",NO DEFECTS,9,5,7
Hyundai Verna,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,T-INTERSECTION,OTHER,"RUT, HOLES",5,6,11
Maruti Suzuki Swift,NO CONTROLS,RAIN,DARKNESS,CENTER TURN LANE,WET,NO DEFECTS,19,7,7
Mahindra Thar,NO CONTROLS,SLEET/HAIL,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,3,3,9
Maruti Suzuki Wagon R,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,20,7,5
Tata Altroz,NO CONTROLS,RAIN,DARKNESS,CENTER TURN LANE,WET,"RUT, HOLES",6,2,7
Kia Sonet,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,DEBRIS ON ROADWAY,3,1,2
Hyundai i20,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,WET,NO DEFECTS,15,6,4
Mahindra Scorpio,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,FOUR WAY,DRY,"RUT, HOLES",9,4,1
Tata Nexon,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,UNKNOWN,NOT DIVIDED,DRY,WORN SURFACE,8,1,1
Hyundai i20,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",15,1,12
Honda City,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,DRY,DEBRIS ON ROADWAY,9,1,4
Tata Altroz,STOP SIGN/FLASHER,RAIN,DAYLIGHT,T-INTERSECTION,WET,NO DEFECTS,17,3,8
Hyundai Creta,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,CENTER TURN LANE,WET,NO DEFECTS,14,6,11
Honda City,OTHER WARNING SIGN,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,11,5,8
Honda Amaze,STOP SIGN/FLASHER,CLEAR,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",19,7,2
Tata Altroz,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ONE-WAY,UNKNOWN,NO DEFECTS,18,5,9
Hyundai Venue,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ONE-WAY,"SAND, MUD, DIRT",NO DEFECTS,12,1,8
Maruti Suzuki Swift,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,WET,WORN SURFACE,19,7,9
Honda City,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,21,6,10
Volkswagen Virtus,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",9,3,12
Hyundai Creta,FLASHING CONTROL SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,UNKNOWN,OTHER,8,2,8
Maruti Suzuki Brezza,TRAFFIC SIGNAL,RAIN,DARKNESS,T-INTERSECTION,UNKNOWN,"RUT, HOLES",21,2,6
Maruti Suzuki Swift,NO CONTROLS,RAIN,DAYLIGHT,FOUR WAY,WET,"RUT, HOLES",8,7,8
Volkswagen Virtus,LANE USE MARKING,CLEAR,DARKNESS,OTHER,OTHER,NO DEFECTS,2,4,1
Toyota Innova,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",7,4,11
Maruti Suzuki Brezza,NO CONTROLS,CLOUDY/OVERCAST,DUSK,FOUR WAY,DRY,WORN SURFACE,18,6,2
Tata Altroz,STOP SIGN/FLASHER,RAIN,DARKNESS,"FIVE POINT, OR MORE",WET,WORN SURFACE,21,7,6
Mahindra Thar,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",TRAFFIC ROUTE,DRY,"RUT, HOLES",16,1,10
Mahindra XUV700,NO CONTROLS,SLEET/HAIL,DUSK,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,22,7,8
Skoda Slavia,STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO DEFECTS,5,1,6
Toyota Innova,NO CONTROLS,RAIN,DARKNESS,TRAFFIC ROUTE,"SAND, MUD, DIRT",NO DEFECTS,2,6,7
Honda Amaze,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,WORN SURFACE,12,7,11
Volkswagen Virtus,NO CONTROLS,OTHER,DARKNESS,T-INTERSECTION,"SAND, MUD, DIRT",NO DEFECTS,22,5,6
Hyundai Creta,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,CENTER TURN LANE,DRY,SHOULDER DEFECT,14,5,11
Mahindra XUV700,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",5,5,1
Tata Punch,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",8,3,10
Maruti Suzuki Wagon R,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,9,2,11
Kia Seltos,OTHER WARNING SIGN,RAIN,DAYLIGHT,CENTER TURN LANE,WET,WORN SURFACE,11,1,3
Tata Harrier,STOP SIGN/FLASHER,RAIN,DARKNESS,FOUR WAY,WET,WORN SURFACE,1,7,7
Mahindra Thar,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,21,5,3
Hyundai Creta,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT","RUT, HOLES",14,6,9
Skoda Slavia,FLASHING CONTROL SIGNAL,RAIN,DARKNESS,NOT DIVIDED,UNKNOWN,DEBRIS ON ROADWAY,17,3,7
Toyota Fortuner,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,DEBRIS ON ROADWAY,3,6,8
Tata Punch,STOP SIGN/FLASHER,OTHER,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,2,3,3
Kia Seltos,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,16,1,4
Nissan Magnite,TRAFFIC SIGNAL,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,DEBRIS ON ROADWAY,20,3,1
Mahindra Thar,OTHER,UNKNOWN,DAYLIGHT,ONE-WAY,DRY,"RUT, HOLES",15,7,6
Tata Harrier,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,"RUT, HOLES",20,7,8
Mahindra Thar,TRAFFIC SIGNAL,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",CENTER TURN LANE,"SAND, MUD, DIRT",WORN SURFACE,19,7,11
Hyundai Verna,NO CONTROLS,RAIN,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,NO DEFECTS,4,4,9
Hyundai Verna,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,8,7,7
Tata Punch,STOP SIGN/FLASHER,OTHER,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,17,4,12
Hyundai Creta,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,CENTER TURN LANE,DRY,"RUT, HOLES",8,2,9
Toyota Fortuner,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,4,12
Toyota Fortuner,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",Y-INTERSECTION,DRY,NO DEFECTS,12,7,7
Maruti Suzuki Wagon R,NO CONTROLS,OTHER,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,13,6,5
Hyundai Creta,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DARKNESS,CENTER TURN LANE,WET,SHOULDER DEFECT,20,4,1
Hyundai i20,NO CONTROLS,RAIN,DAWN,NOT DIVIDED,WET,"RUT, HOLES",5,2,9
Skoda Slavia,STOP SIGN/FLASHER,CLEAR,UNKNOWN,UNKNOWN INTERSECTION TYPE,UNKNOWN,"RUT, HOLES",9,5,2
Nissan Magnite,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,Y-INTERSECTION,"SAND, MUD, DIRT",NO DEFECTS,15,7,5
Tata Altroz,NO CONTROLS,UNKNOWN,DAYLIGHT,FOUR WAY,OTHER,WORN SURFACE,17,2,7
Maruti Suzuki Swift,TRAFFIC SIGNAL,RAIN,DAYLIGHT,FOUR WAY,WET,DEBRIS ON ROADWAY,16,6,8
Nissan Magnite,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,22,2,8
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,"RUT, HOLES",19,7,3
Renault Kiger,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,SHOULDER DEFECT,15,6,6
Tata Altroz,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,8,1,8
Mahindra XUV700,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",NO DEFECTS,8,2,12
Hyundai Creta,NO CONTROLS,RAIN,DAYLIGHT,UNKNOWN INTERSECTION TYPE,WET,"RUT, HOLES",17,7,9
Tata Harrier,NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,19,4,12
Mahindra Scorpio,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,22,4,9
Tata Punch,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",16,1,8
Mahindra Scorpio,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,TRAFFIC ROUTE,DRY,NO DEFECTS,15,1,3
Hyundai i20,LANE USE MARKING,RAIN,"DARKNESS, LIGHTED ROAD",UNKNOWN,WET,SHOULDER DEFECT,0,6,9
Toyota Innova,NO CONTROLS,RAIN,DARKNESS,FOUR WAY,OTHER,NO DEFECTS,3,6,8
Maruti Suzuki Brezza,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,UNKNOWN,7,7,8
Toyota Innova,NO CONTROLS,RAIN,DARKNESS,ALLEY,WET,NO DEFECTS,2,4,7
Tata Altroz,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,OTHER,"RUT, HOLES",12,3,7
Hyundai i20,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,11,5,6
Honda City,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,UNKNOWN,"RUT, HOLES",16,5,7
Skoda Slavia,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DARKNESS,UNKNOWN,DRY,OTHER,15,1,3
Toyota Innova,YIELD,CLEAR,DAWN,NOT DIVIDED,DRY,WORN SURFACE,16,7,10
Tata Altroz,STOP SIGN/FLASHER,OTHER,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,14,5,3
Hyundai Verna,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",9,1,1
Hyundai i20,NO CONTROLS,RAIN,DARKNESS,ALLEY,WET,"RUT, HOLES",22,7,7
Toyota Innova,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,L-INTERSECTION,DRY,NO DEFECTS,4,7,8
Tata Harrier,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,DEBRIS ON ROADWAY,21,7,7
Tata Nexon,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,10,7,5
Tata Altroz,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",14,2,8
Maruti Suzuki Swift,NO CONTROLS,CLEAR,DAWN,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,6,7,6
Kia Sonet,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,3,6,12
Mahindra Thar,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,L-INTERSECTION,DRY,DEBRIS ON ROADWAY,13,5,12
Honda Amaze,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,18,7,7
Renault Kiger,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,3,6
Tata Harrier,NO CONTROLS,RAIN,DAYLIGHT,OTHER,"SAND, MUD, DIRT",WORN SURFACE,15,7,9
